"cin","cout","title","deweyClass","itemtype"
"2006-10-07 16:51:00","2006-09-18 18:02:00","Python in a nutshell","005.133","acbk"
"2006-10-13 09:27:00","2006-09-18 18:02:00","Python in a nutshell","005.133","acbk"
"2006-10-13 14:03:00","2006-09-22 17:44:00","Python in a nutshell","005.133","acbk"
"2006-10-20 20:28:00","2006-08-15 16:44:00","Python essential reference","005.133","acbk"
"2006-10-23 13:00:00","2006-08-15 16:44:00","Python essential reference","005.133","acbk"
"2006-10-23 16:33:00","2006-10-04 13:56:00","Practical Python","005.133","acbk"
"2006-10-26 11:10:00","2006-10-04 13:56:00","Practical Python","005.133","acbk"
"2006-10-27 13:47:00","2006-10-04 13:56:00","Practical Python","005.133","acbk"
"2006-11-03 16:05:00","2006-09-07 13:59:00","Python in a nutshell","005.133","acbk"
"2006-11-15 10:27:00","2006-10-26 14:00:00","Python essential reference","005.133","acbk"
"2006-11-19 14:27:00","2006-10-28 17:58:00","Practical Python","005.133","acbk"
"2006-11-24 09:44:00","2006-10-28 17:58:00","Practical Python","005.133","acbk"
"2006-11-29 11:08:00","2006-10-14 14:49:00","Python in a nutshell","005.133","acbk"
"2006-12-02 15:04:00","2006-11-29 19:13:00","Python essential reference","005.133","acbk"
"2007-01-04 17:01:00","2006-11-03 16:11:00","Python in a nutshell","005.133","acbk"
"2007-01-19 10:32:00","2006-11-03 16:11:00","Python in a nutshell","005.133","acbk"
"2007-01-19 19:29:00","2006-11-03 16:11:00","Python in a nutshell","005.133","acbk"
"2007-02-14 17:26:00","2006-12-18 17:15:00","Python essential reference","005.133","acbk"
"2007-02-16 11:17:00","2007-01-19 10:41:00","Python essential reference","005.133","acbk"
"2007-02-16 13:14:00","2007-01-31 14:10:00","Python in a nutshell","005.133","acbk"
"2007-02-28 16:44:00","2007-01-31 14:10:00","Python in a nutshell","005.133","acbk"
"2007-03-01 12:14:00","2007-01-31 14:10:00","Python in a nutshell","005.133","acbk"
"2007-03-10 16:36:00","2007-02-14 19:50:00","Python essential reference","005.133","acbk"
"2007-03-11 16:38:00","2007-02-17 16:39:00","Python essential reference","005.133","acbk"
"2007-04-03 19:30:00","2007-03-03 17:03:00","Python in a nutshell","005.133","acbk"
"2007-04-09 13:19:00","2007-03-03 17:03:00","Python in a nutshell","005.133","acbk"
"2007-04-10 18:52:00","2007-03-17 13:12:00","Python essential reference","005.133","acbk"
"2007-04-28 17:02:00","2007-04-10 18:06:00","Python in a nutshell","005.133","acbk"
"2007-04-30 12:10:00","2007-04-10 18:06:00","Python in a nutshell","005.133","acbk"
"2007-05-10 15:30:00","2007-04-10 18:06:00","Python in a nutshell","005.133","acbk"
"2007-06-07 16:41:00","2007-05-13 15:30:00","Python in a nutshell","005.133","acbk"
"2007-06-11 17:27:00","2007-05-13 15:30:00","Python in a nutshell","005.133","acbk"
"2007-06-12 12:37:00","2007-05-13 15:30:00","Python in a nutshell","005.133","acbk"
"2007-06-12 18:08:00","2007-05-03 14:24:00","Python essential reference","005.133","acbk"
"2007-07-10 12:53:00","2007-05-03 13:48:00","Python essential reference","005.133","acbk"
"2007-07-12 23:40:00","2007-06-14 17:44:00","Python in a nutshell","005.133","acbk"
"2007-07-13 11:52:00","2007-06-14 17:44:00","Python in a nutshell","005.133","acbk"
"2007-07-19 16:02:00","2007-07-01 12:51:00","Python essential reference","005.133","acbk"
"2007-07-24 18:15:00","2007-06-20 17:42:00","Python essential reference","005.133","acbk"
"2007-07-25 11:26:00","2007-07-01 12:51:00","Python essential reference","005.133","acbk"
"2007-07-29 15:26:00","2007-07-29 15:26:00","Python essential reference","005.133","acbk"
"2007-08-01 11:39:00","2007-05-03 13:48:00","Python essential reference","005.133","acbk"
"2007-08-02 11:42:00","2007-05-03 13:48:00","Python essential reference","005.133","acbk"
"2007-08-04 13:27:00","2007-07-13 17:37:00","Python in a nutshell","005.133","acbk"
"2007-08-08 18:36:00","2007-08-02 13:11:00","Python essential reference","005.133","acbk"
"2007-08-09 10:32:00","2007-07-13 17:37:00","Python in a nutshell","005.133","acbk"
"2007-08-15 12:21:00","2007-07-13 17:37:00","Python in a nutshell","005.133","acbk"
"2007-08-20 12:03:00","2006-12-02 17:29:00","Python in a nutshell","005.133","acbk"
"2007-09-04 22:20:00","2007-07-29 15:27:00","Python essential reference","005.133","acbk"
"2007-09-07 15:24:00","2007-08-18 13:14:00","Python in a nutshell","005.133","acbk"
"2007-09-10 14:18:00","2007-08-18 13:14:00","Python in a nutshell","005.133","acbk"
"2007-09-12 13:19:00","2007-08-02 13:11:00","Python essential reference","005.133","acbk"
"2007-09-20 17:59:00","2007-08-27 18:40:00","Python in a nutshell","005.133","acbk"
"2007-09-20 19:26:00","2007-07-19 19:09:00","Python essential reference","005.133","acbk"
"2007-09-23 14:22:00","2007-08-27 18:40:00","Python in a nutshell","005.133","acbk"
"2007-09-25 16:24:00","2007-08-27 18:40:00","Python in a nutshell","005.133","acbk"
"2007-10-02 12:12:00","2007-09-11 12:40:00","Python in a nutshell","005.133","acbk"
"2007-10-03 09:37:00","2007-09-11 12:40:00","Python in a nutshell","005.133","acbk"
"2007-10-09 16:24:00","2007-08-27 18:40:00","Python in a nutshell","005.133","acbk"
"2007-10-11 11:13:00","2007-08-27 18:40:00","Python in a nutshell","005.133","acbk"
"2007-10-12 15:36:00","2007-08-27 18:40:00","Python in a nutshell","005.133","acbk"
"2007-10-15 17:05:00","2007-09-11 12:40:00","Python in a nutshell","005.133","acbk"
"2007-10-29 13:43:00","2007-10-17 15:14:00","Python in a nutshell","005.133","acbk"
"2007-11-04 15:23:00","2007-10-21 15:02:00","Python in a nutshell","005.133","acbk"
"2007-11-07 10:23:00","2007-10-21 15:02:00","Python in a nutshell","005.133","acbk"
"2007-11-07 13:39:00","2007-09-08 17:41:00","Python essential reference","005.133","acbk"
"2007-11-23 17:40:00","2007-11-03 10:43:00","Python in a nutshell","005.133","acbk"
"2007-11-23 21:45:00","2007-07-19 19:09:00","Python essential reference","005.133","acbk"
"2007-11-24 00:00:00","2007-09-19 15:50:00","Python essential reference","005.133","acbk"
"2007-11-27 11:00:00","2007-07-19 19:09:00","Python essential reference","005.133","acbk"
"2007-12-03 17:55:00","2007-11-12 17:33:00","Python in a nutshell","005.133","acbk"
"2007-12-04 17:20:00","2007-11-12 17:33:00","Python in a nutshell","005.133","acbk"
"2007-12-06 17:25:00","2007-11-26 16:31:00","Python in a nutshell","005.133","acbk"
"2007-12-09 15:56:00","2007-11-26 16:31:00","Python in a nutshell","005.133","acbk"
"2007-12-11 13:36:00","2007-11-26 16:31:00","Python in a nutshell","005.133","acbk"
"2007-12-12 20:06:00","2007-11-07 14:29:00","Python essential reference","005.133","acbk"
"2007-12-19 17:54:00","2007-12-05 16:09:00","Python in a nutshell","005.133","acbk"
"2007-12-21 18:14:00","2007-12-05 16:09:00","Python in a nutshell","005.133","acbk"
"2007-12-22 13:53:00","2007-12-16 15:42:00","Python in a nutshell","005.133","acbk"
"2007-12-26 10:37:00","2007-12-05 16:09:00","Python in a nutshell","005.133","acbk"
"2007-12-27 12:55:00","2007-12-16 15:42:00","Python in a nutshell","005.133","acbk"
"2008-01-15 11:33:00","2007-11-27 13:46:00","Python essential reference","005.133","acbk"
"2008-01-25 11:28:00","2008-01-25 11:28:00","Python essential reference","005.133","acbk"
"2008-01-27 14:42:00","2007-12-30 13:45:00","Python in a nutshell","005.133","acbk"
"2008-01-27 16:18:00","2007-12-26 18:03:00","Python in a nutshell","005.133","acbk"
"2008-01-29 15:33:00","2007-12-29 14:12:00","quick Python book","005.133","acbk"
"2008-01-30 17:01:00","2007-12-30 13:45:00","Python in a nutshell","005.133","acbk"
"2008-02-01 12:48:00","2007-12-26 18:03:00","Python in a nutshell","005.133","acbk"
"2008-02-24 13:23:00","2007-12-22 15:32:00","Python essential reference","005.133","acbk"
"2008-02-25 10:58:00","2007-12-22 15:32:00","Python essential reference","005.133","acbk"
"2008-02-26 12:03:00","2008-02-03 12:43:00","Python in a nutshell","005.133","acbk"
"2008-02-27 11:54:00","2008-02-01 14:23:00","quick Python book","005.133","acbk"
"2008-02-28 12:45:00","2008-02-01 14:23:00","quick Python book","005.133","acbk"
"2008-03-09 15:19:00","2008-02-13 17:47:00","Python in a nutshell","005.133","acbk"
"2008-03-10 16:51:00","2008-02-27 15:18:00","Python in a nutshell","005.133","acbk"
"2008-03-13 12:13:00","2008-02-27 15:18:00","Python in a nutshell","005.133","acbk"
"2008-03-18 13:49:00","2008-02-01 14:06:00","Python essential reference","005.133","acbk"
"2008-03-22 15:54:00","2008-02-27 17:44:00","Python essential reference","005.133","acbk"
"2008-03-26 10:34:00","2008-02-29 13:32:00","quick Python book","005.133","acbk"
"2008-03-27 10:29:00","2008-02-27 17:44:00","Python essential reference","005.133","acbk"
"2008-04-05 12:00:00","2008-02-08 11:25:00","Python essential reference","005.133","acbk"
"2008-04-05 14:21:00","2008-03-15 13:14:00","Python in a nutshell","005.133","acbk"
"2008-04-20 14:21:00","2008-04-12 17:40:00","Python essential reference","005.133","acbk"
"2008-04-22 23:04:00","2008-04-12 17:40:00","Python essential reference","005.133","acbk"
"2008-04-23 12:12:00","2008-03-15 13:14:00","Python in a nutshell","005.133","acbk"
"2008-04-24 15:25:00","2008-04-12 17:40:00","Python essential reference","005.133","acbk"
"2008-04-25 15:26:00","2008-04-02 15:33:00","Python essential reference","005.133","acbk"
"2008-05-01 13:26:00","2008-04-29 13:02:00","Python essential reference","005.133","acbk"
"2008-05-03 10:38:00","2008-03-15 13:14:00","Python in a nutshell","005.133","acbk"
"2008-05-05 17:00:00","2008-03-15 13:14:00","Python in a nutshell","005.133","acbk"
"2008-05-06 15:01:00","2008-03-15 13:14:00","Python in a nutshell","005.133","acbk"
"2008-05-06 16:04:00","2008-04-10 15:22:00","Python in a nutshell","005.133","acbk"
"2008-05-08 12:12:00","2008-04-29 13:02:00","Python essential reference","005.133","acbk"
