"cin","cout","title","deweyClass","itemtype"
"2006-07-20 17:46:00","2006-06-05 19:06:00","Advanced Perl programming","005.133","acbk"
"2006-07-21 10:40:00","2006-06-05 19:06:00","Advanced Perl programming","005.133","acbk"
"2006-07-21 13:28:00","2006-06-30 11:04:00","Learning Perl Tk","005.133","acbk"
"2006-07-21 13:30:00","2006-07-05 15:46:00","Mastering Perl Tk","005.133","acbk"
"2006-07-21 15:12:00","2006-07-03 13:05:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-07-24 14:08:00","2006-06-17 16:37:00","Mastering Perl Tk","005.133","acbk"
"2006-07-24 15:25:00","2006-03-04 15:24:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-07-26 16:14:00","2006-07-17 15:01:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-07-27 10:56:00","2006-07-17 15:01:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-07-27 11:00:00","2006-05-26 17:50:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-07-31 15:57:00","2006-07-03 13:05:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-08-01 11:06:00","2006-06-23 13:38:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-08-01 18:28:00","2006-07-18 18:26:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-02 10:40:00","2006-07-18 18:26:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-02 17:16:00","2006-07-31 11:36:00","CGI programming 101 programming Perl for the World Wide Web","005.2762","acbk"
"2006-08-02 18:24:00","2006-07-17 18:23:00","Learning Perl objects references and modules","005.133","acbk"
"2006-08-07 12:58:00","2006-03-17 11:43:00","Programming the Perl DBI","005.74","acbk"
"2006-08-07 18:30:00","2006-07-19 18:22:00","Advanced Perl programming","005.133","acbk"
"2006-08-08 16:40:00","2006-07-28 17:59:00","Learn Perl in a weekend","005.133","acbk"
"2006-08-12 13:55:00","2006-07-16 16:37:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2006-08-14 10:04:00","2006-07-16 16:37:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2006-08-14 19:47:00","2006-07-26 15:01:00","Advanced Perl programming","005.133","acbk"
"2006-08-15 12:06:00","2006-07-20 12:30:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-08-15 12:07:00","2006-07-25 12:07:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-16 13:57:00","2006-07-31 19:41:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-08-17 15:11:00","2006-07-05 15:46:00","Mastering Perl Tk","005.133","acbk"
"2006-08-18 10:29:00","2006-07-05 15:46:00","Mastering Perl Tk","005.133","acbk"
"2006-08-21 19:24:00","2006-07-20 12:30:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-08-21 19:24:00","2006-07-25 12:07:00","Mastering Perl Tk","005.133","acbk"
"2006-08-21 19:24:00","2006-07-20 12:30:00","Learning Perl objects references and modules","005.133","acbk"
"2006-08-21 19:25:00","2006-07-31 17:31:00","Learning Perl Tk","005.133","acbk"
"2006-08-22 14:33:00","2006-08-01 16:14:00","Advanced Perl programming","005.133","acbk"
"2006-08-22 14:34:00","2006-08-01 16:29:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-08-23 12:32:00","2006-07-21 17:38:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-08-23 13:43:00","2006-07-31 17:31:00","Learning Perl Tk","005.133","acbk"
"2006-08-24 10:34:00","2006-07-31 17:31:00","Learning Perl Tk","005.133","acbk"
"2006-08-24 10:59:00","2006-07-25 12:07:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-25 14:20:00","2006-08-04 14:01:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-08-25 14:21:00","2006-08-04 14:01:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-25 16:41:00","2006-08-21 17:27:00","Learning Perl objects references and modules","005.133","acbk"
"2006-08-28 14:23:00","2006-08-04 14:01:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-28 15:05:00","2006-08-01 13:53:00","Learn Perl in a weekend","005.133","acbk"
"2006-08-30 15:24:00","2006-08-24 15:15:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-08-31 16:16:00","2006-03-22 15:37:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2006-08-31 17:38:00","2006-08-24 15:15:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-09-01 10:48:00","2006-08-24 15:15:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-09-01 12:08:00","2006-07-22 15:00:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2006-09-05 13:47:00","2006-07-22 15:00:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2006-09-06 22:47:00","2006-07-19 18:22:00","Advanced Perl programming","005.133","acbk"
"2006-09-12 19:21:00","2006-08-18 13:41:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2006-09-14 12:16:00","2006-08-24 19:43:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-09-14 14:07:00","2006-08-18 13:41:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2006-09-14 19:49:00","2006-08-01 19:52:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-09-15 11:46:00","2006-08-01 19:52:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-09-19 13:30:00","2006-06-19 18:15:00","Games diversions and Perl culture best of the Perl journal","005.133","acbk"
"2006-09-19 18:07:00","2006-08-29 13:45:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-09-26 11:44:00","2006-09-01 14:22:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-09-26 16:23:00","2006-09-17 13:45:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-09-26 19:26:00","2006-09-17 16:41:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-09-27 20:09:00","2006-08-24 19:43:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-09-28 12:25:00","2006-08-24 19:43:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-09-29 10:22:00","2006-07-31 11:36:00","CGI programming 101 programming Perl for the World Wide Web","005.2762","acbk"
"2006-09-29 15:24:00","2006-09-15 13:07:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2006-09-29 16:24:00","2006-09-11 16:26:00","Advanced Perl programming","005.133","acbk"
"2006-10-05 11:44:00","2006-08-07 15:06:00","Programming the Perl DBI","005.74","acbk"
"2006-10-05 16:46:00","2006-09-16 14:07:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-10-17 10:10:00","2006-09-07 13:44:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2006-10-18 20:21:00","2006-08-01 16:29:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-10-18 22:21:00","2006-09-18 16:20:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-10-19 10:22:00","2006-10-18 16:19:00","Writing Apache modules with Perl and C","005.71376","acbk"
"2006-10-19 10:41:00","2006-08-01 16:29:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-10-19 12:25:00","2006-09-18 16:20:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-10-20 13:28:00","2006-08-29 13:45:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2006-10-22 16:07:00","2006-10-16 15:56:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2006-10-22 16:07:00","2006-10-16 15:56:00","Learning Perl objects references and modules","005.133","acbk"
"2006-10-22 16:09:00","2006-10-18 16:19:00","Advanced Perl programming","005.133","acbk"
"2006-10-24 16:13:00","2006-06-01 18:43:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-10-25 13:40:00","2006-10-04 14:37:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-10-26 13:15:00","2006-09-20 19:45:00","Learning Perl Tk","005.133","acbk"
"2006-10-27 14:17:00","2006-10-04 14:37:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-10-28 12:47:00","2006-07-25 12:07:00","Mastering Perl Tk","005.133","acbk"
"2006-10-30 15:53:00","2006-10-28 17:09:00","Advanced Perl programming","005.133","acbk"
"2006-10-31 13:38:00","2006-10-16 15:56:00","Learning Perl objects references and modules","005.133","acbk"
"2006-11-06 18:24:00","2006-09-12 18:17:00","Learn Perl in a weekend","005.133","acbk"
"2006-11-06 18:56:00","2006-07-20 12:30:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-11-06 22:13:00","2006-10-14 10:58:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-11-07 14:10:00","2006-10-14 10:58:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-11-09 10:31:00","2006-10-02 17:41:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-11-10 16:02:00","2006-10-20 16:55:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-11-13 14:44:00","2006-10-27 12:49:00","Learning Perl Tk","005.133","acbk"
"2006-11-13 14:44:00","2006-10-31 10:23:00","Mastering Perl Tk","005.133","acbk"
"2006-11-13 16:11:00","2006-10-02 17:41:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2006-11-14 13:19:00","2006-10-31 10:23:00","Mastering Perl Tk","005.133","acbk"
"2006-11-15 11:44:00","2006-10-20 16:55:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-11-15 18:03:00","2006-09-19 16:35:00","Games diversions and Perl culture best of the Perl journal","005.133","acbk"
"2006-11-16 12:46:00","2006-11-07 13:24:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-11-22 15:19:00","2006-11-16 19:57:00","Advanced Perl programming","005.133","acbk"
"2006-11-25 12:17:00","2006-11-18 10:58:00","Advanced Perl programming","005.133","acbk"
"2006-11-27 13:49:00","2006-07-20 12:30:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-12-01 16:48:00","2006-10-01 15:16:00","Advanced Perl programming","005.133","acbk"
"2006-12-02 14:02:00","2006-10-24 13:06:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-12-04 14:41:00","2006-10-24 13:06:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-12-06 18:58:00","2006-11-05 14:26:00","CGI programming 101 programming Perl for the World Wide Web","005.2762","acbk"
"2006-12-07 15:40:00","2006-12-05 15:17:00","Advanced Perl programming","005.133","acbk"
"2006-12-07 15:49:00","2006-10-28 16:08:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-12-11 15:29:00","2006-11-18 10:58:00","Advanced Perl programming","005.133","acbk"
"2006-12-12 11:36:00","2006-11-18 10:58:00","Advanced Perl programming","005.133","acbk"
"2006-12-12 17:17:00","2006-10-28 16:08:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-12-13 11:14:00","2006-10-28 16:08:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2006-12-18 13:23:00","2006-11-13 12:46:00","Advanced Perl programming","005.133","acbk"
"2006-12-19 17:56:00","2006-12-15 13:19:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2006-12-19 18:44:00","2006-12-03 14:56:00","Learn Perl in a weekend","005.133","acbk"
"2006-12-21 11:19:00","2006-08-07 15:06:00","Programming the Perl DBI","005.74","acbk"
"2006-12-21 11:21:00","2006-12-13 10:52:00","Learning Perl Tk","005.133","acbk"
"2006-12-26 16:52:00","2006-12-04 16:45:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-12-27 10:21:00","2006-12-04 16:45:00","Computer science and Perl programming best of the Perl Journal","005.133","acbk"
"2006-12-29 17:19:00","2006-12-02 16:26:00","Mastering Perl Tk","005.133","acbk"
"2006-12-30 15:00:00","2006-12-16 12:29:00","Advanced Perl programming","005.133","acbk"
"2006-12-30 15:01:00","2006-12-16 12:29:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-01-02 19:16:00","2006-10-31 19:47:00","Learning Perl objects references and modules","005.133","acbk"
"2007-01-03 10:52:00","2006-11-18 14:40:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2007-02-16 13:46:00","2007-02-07 19:08:00","Learning Perl Tk","005.133","acbk"
"2007-02-16 16:35:00","2007-01-25 18:50:00","Effective Perl programming writing better programs with Perl","005.133","acbk"
"2007-02-16 17:50:00","2007-01-27 11:01:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2007-02-21 11:47:00","2007-02-17 11:25:00","Advanced Perl programming","005.133","acbk"
"2007-02-23 12:03:00","2007-01-07 15:48:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-03-02 16:39:00","2007-02-01 17:23:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-03-05 16:07:00","2007-02-05 15:33:00","Learning Perl objects references and modules","005.133","acbk"
"2007-03-07 13:02:00","2007-02-15 12:32:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-03-07 17:14:00","2007-01-27 14:55:00","Sams teach yourself Perl in 21 days","005.133","acbk"
"2007-03-10 11:54:00","2007-02-15 12:32:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-03-12 10:51:00","2007-02-28 17:03:00","Embedding Perl in HTML with Mason","005.133","acbk"
"2007-03-12 17:17:00","2007-02-02 17:44:00","Advanced Perl programming","005.133","acbk"
"2007-03-13 12:55:00","2007-02-15 12:32:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-03-14 14:16:00","2007-02-02 13:49:00","CGI programming 101 programming Perl for the World Wide Web","005.2762","acbk"
"2007-03-28 10:52:00","2007-02-15 12:32:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-04-04 19:23:00","2007-02-01 17:23:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-04-05 11:05:00","2007-02-24 13:25:00","Wicked cool Perl scripts useful Perl scripts that solve difficult problems","005.133","acbk"
"2007-04-05 11:39:00","2007-02-01 17:23:00","Sams teach yourself Perl in 24 hours","005.133","acbk"
"2007-04-06 10:02:00","2006-04-19 10:32:00","Learn Perl in a weekend","005.133","acbk"
